1.000000 0.405356 0.466896 0.583178
1.100000 0.398912 0.576726 0.579996
1.200000 0.419990 0.560163 0.641811
1.300000 0.447071 0.572008 0.659169
1.400000 0.443140 0.534918 0.769145
1.500000 0.485054 0.612645 0.702700
1.600000 0.474142 0.585738 0.871157
1.700000 0.479975 0.634926 0.744029
1.800000 0.487252 0.545320 0.797892
1.900000 0.472011 0.638264 0.757601
2.000000 0.484025 0.615546 0.734457
2.100000 0.541968 0.596837 0.564830
2.200000 0.459001 0.678579 0.609802
2.300000 0.536549 0.613261 0.602199
2.400000 0.525783 0.559464 0.563975
2.500000 0.553054 0.615739 0.574491
2.600000 0.458419 0.590150 0.545725
2.700000 0.503150 0.610467 0.569574
2.800000 0.499509 0.565355 0.533287
2.900000 0.457379 0.496089 0.533248
3.000000 0.573886 0.607223 0.550250
3.100000 0.500717 0.590849 0.458292
3.200000 0.472200 0.604804 0.486769
3.300000 0.501956 0.630102 0.503753
3.400000 0.515151 0.627386 0.495803
3.500000 0.534851 0.676182 0.493304
3.600000 0.561870 0.652603 0.543782
3.700000 0.503755 0.582326 0.528274
3.800000 0.574033 0.562760 0.489441
3.900000 0.540753 0.550089 0.554518
4.000000 0.537676 0.600613 0.577829
4.100000 0.597165 0.611933 0.555398
4.200000 0.506120 0.643399 0.553317
4.300000 0.541009 0.627144 0.567954
4.400000 0.583671 0.613924 0.522053
4.500000 0.562608 0.581924 0.622772
4.600000 0.573092 0.530934 0.643018
4.700000 0.588181 0.543830 0.538988
4.800000 0.611775 0.619583 0.626153
4.900000 0.601928 0.589267 0.538923
5.000000 0.587337 0.649647 0.570223
5.100000 0.587305 0.628213 0.524054
5.200000 0.506923 0.582263 0.513389
5.300000 0.598992 0.592017 0.606312
5.400000 0.532897 0.579804 0.608942
5.500000 0.549546 0.581094 0.584105
5.600000 0.508014 0.514792 0.591912
5.700000 0.562164 0.566199 0.674081
5.800000 0.592856 0.622024 0.604363
5.900000 0.616003 0.646392 0.592525
6.000000 0.606847 0.573309 0.642130
